1750,1800,1780,Thanjavur,Orathanadu,Paddy(Dhan)(Common)
1750,1800,1780,Thanjavur,Papanasam,Paddy(Dhan)(Common)
2200,2300,2250,Thanjavur,Thanjavur,Paddy(Dhan)(Common)
1800,1900,1850,Thanjavur,Thiruppananthal,Paddy(Dhan)(Common)
1900,2000,1950,Thanjavur,Vallam,Paddy(Dhan)(Common)
6203,6703,6620,Thiruvannamalai,Cheyyar,Groundnut
1258,1449,1356,Thiruvannamalai,Cheyyar,Paddy(Dhan)(Common)
1286,1509,1448,Thiruvannamalai,Cheyyar,Paddy(Dhan)(Common)
1385,1467,1426,Vellore,Ammoor,Paddy(Dhan)(Common)
1140,1455,1298,Vellore,Ammoor,Paddy(Dhan)(Common)
1448,1521,1485,Vellore,Ammoor,Paddy(Dhan)(Common)
1453,1453,1453,Vellore,Kalavai,Paddy(Dhan)(Common)
1406,1453,1430,Vellore,Kalavai,Paddy(Dhan)(Common)
4315,4815,4715,Vellore,Vellore,Black Gram (Urd Beans)(Whole)
7030,9600,9300,Vellore,Vellore,Copra
4350,4550,4550,Vellore,Vellore,Cowpea (Lobia/Karamani)
7013,7752,7361,Vellore,Vellore,Groundnut
2189,3002,2881,Vellore,Vellore,Kulthi(Horse Gram)
1589,2210,2210,Vellore,Vellore,Maize
1092,1492,1400,Vellore,Vellore,Paddy(Dhan)(Common)
1652,1652,1652,Vellore,Vellore,Paddy(Dhan)(Common)
2089,2661,2640,Vellore,Vellore,Ragi (Finger Millet)
10100,10100,10100,Vellore,Vellore,Tamarind Fruit
4569,4892,4792,Villupuram,Avalurpet,Black Gram (Urd Beans)(Whole)
4412,7079,5062,Villupuram,Avalurpet,Green Gram (Moong)(Whole)
5786,7111,6961,Villupuram,Avalurpet,Groundnut
1400,1507,1453,Villupuram,Avalurpet,Paddy(Dhan)(Common)
1772,2265,2019,Villupuram,Avalurpet,Paddy(Dhan)(Common)
4870,4870,4870,Villupuram,Chinnasalem,Black Gram (Urd Beans)(Whole)
1867,2009,1900,Villupuram,Chinnasalem,Maize
9300,9400,9350,Villupuram,Chinnasalem,"Sesamum(Sesame,Gingelly,Til)"
4809,4839,4824,Villupuram,Gingee,Black Gram (Urd Beans)(Whole)
4250,4939,4595,Villupuram,Gingee,Cotton
5080,5199,5140,Villupuram,Gingee,Green Gram (Moong)(Whole)
6336,6711,6524,Villupuram,Gingee,Groundnut
1673,1827,1700,Villupuram,Gingee,Paddy(Dhan)(Common)
2200,2812,2506,Villupuram,Gingee,Paddy(Dhan)(Common)
1336,1565,1451,Villupuram,Gingee,Paddy(Dhan)(Common)
2400,2439,2420,Villupuram,Gingee,Ragi (Finger Millet)
10799,11299,11049,Villupuram,Gingee,"Sesamum(Sesame,Gingelly,Til)"
1851,1851,1851,Villupuram,Gingee,T.V. Cumbu
4769,5013,4866,Villupuram,Kallakurichi,Black Gram (Urd Beans)(Whole)
7999,11561,10649,Villupuram,Kallakurichi,Gingelly Oil
4199,4599,4302,Villupuram,Kallakurichi,Green Gram (Moong)(Whole)
6886,6886,6886,Villupuram,Kallakurichi,Groundnut
1989,1989,1989,Villupuram,Kallakurichi,Kodo Millet(Varagu)
1509,1999,1849,Villupuram,Kallakurichi,Maize
2599,2599,2599,Villupuram,Kallakurichi,Ragi (Finger Millet)
1910,2112,2029,Villupuram,Kallakurichi,T.V. Cumbu
4769,4852,4811,Villupuram,Manalurpet,Black Gram (Urd Beans)(Whole)
3539,3539,3539,Villupuram,Manalurpet,Green Gram (Moong)(Whole)
1948,1948,1948,Villupuram,Manalurpet,Hybrid Cumbu
1252,1457,1355,Villupuram,Manalurpet,Paddy(Dhan)(Common)
2312,2312,2312,Villupuram,Manalurpet,Ragi (Finger Millet)
9011,11351,10181,Villupuram,Manalurpet,"Sesamum(Sesame,Gingelly,Til)"
4009,5000,4802,Villupuram,Sangarapuram,Black Gram (Urd Beans)(Whole)
4080,4080,4080,Villupuram,Sangarapuram,Groundnut
2630,2630,2630,Villupuram,Sangarapuram,Kulthi(Horse Gram)
1953,2042,2029,Villupuram,Sangarapuram,Maize
1548,1875,1789,Villupuram,Sangarapuram,Paddy(Dhan)(Common)
1180,1180,1180,Villupuram,Sangarapuram,Ragi (Finger Millet)
8640,10516,9391,Villupuram,Sangarapuram,"Sesamum(Sesame,Gingelly,Til)"
6236,7387,6724,Villupuram,Tindivanam,Groundnut
2222,2222,2222,Villupuram,Tindivanam,Hybrid Cumbu
5987,6363,6263,Villupuram,Tindivanam,Karamani
2400,2654,2400,Villupuram,Tindivanam,Ragi (Finger Millet)
11199,11324,11261,Villupuram,Tindivanam,"Sesamum(Sesame,Gingelly,Til)"
1318,1425,1376,Villupuram,Tiruvennainallur,Paddy(Dhan)(Common)
1358,1420,1395,Villupuram,Tiruvennainallur,Paddy(Dhan)(Common)
4699,4869,4779,Villupuram,Vikkiravandi,Black Gram (Urd Beans)(Whole)
4696,4912,4896,Villupuram,Vikkiravandi,Cotton
5179,5339,5209,Villupuram,Vikkiravandi,Green Gram (Moong)(Whole)
4723,5923,5555,Villupuram,Vikkiravandi,Groundnut
1800,1853,1825,Villupuram,Vikkiravandi,Hybrid Cumbu
1248,1629,1420,Villupuram,Vikkiravandi,Paddy(Dhan)(Common)
1270,1587,1515,Villupuram,Vikkiravandi,Paddy(Dhan)(Common)
1700,1737,1715,Villupuram,Vikkiravandi,Paddy(Dhan)(Common)
2529,2592,2579,Villupuram,Vikkiravandi,Ragi (Finger Millet)
9774,10749,10049,Villupuram,Vikkiravandi,"Sesamum(Sesame,Gingelly,Til)"
1200,1214,1205,Villupuram,Vikkiravandi,Thinai (Italian Millet)
2559,2639,2619,Villupuram,Villupuram,Black Gram (Urd Beans)(Whole)
5071,5239,5109,Villupuram,Villupuram,Green Gram (Moong)(Whole)
6549,6915,6584,Villupuram,Villupuram,Groundnut
1393,1456,1424,Villupuram,Villupuram,Paddy(Dhan)(Common)
1392,1471,1431,Villupuram,Villupuram,Paddy(Dhan)(Common)
1579,1715,1643,Villupuram,Villupuram,Paddy(Dhan)(Common)
1400,1440,1420,Villupuram,Villupuram,Paddy(Dhan)(Common)
1608,1701,1655,Villupuram,Villupuram,Paddy(Dhan)(Common)
10636,11458,11124,Villupuram,Villupuram,"Sesamum(Sesame,Gingelly,Til)"
1969,1969,1969,Villupuram,Villupuram,T.V. Cumbu
1650,1750,1700,Virudhunagar,Rajapalayam,Paddy(Dhan)(Common)
1750,1800,1775,Virudhunagar,Sathur,Paddy(Dhan)(Common)
